index,X_approx,K_approx,V_over_Hd2_approx,V_minus_delta_zero_limit_approx
0,0.001,1.247222222222222222222222222222222222222222222222222222222222222222222222222222222222,0.0006666666666666666666666666666666698333333333333333333333333333333333333333333333333333,1.35601851851851851851851851851852054988425925925925925925925925925925943287037037037e-176
1,0.83433,3.562027777777777777777777777777777777777777777777777777777777777777777777777777777778,0.55622000000000000000000000000220433740485,3.360960331148904166666666666669582963529874974892072916666666736855304739158588982507e-170
2,1.66766,5.876833333333333333333333333333333333333333333333333333333333333333333333333333333333,1.1117733333333333333333333333421401179394,2.308425625659252962962962962966678524444582784371020370370370594301812351242410594656e-169
3,2.50099,8.191638888888888888888888888888888888888888888888888888888888888888888888888888888889,1.667326666666666666666666666686474011436983333333333333333333333333333333333333333333,7.363730811452531990740740740757950603107282547534216550925927624706526208576896431396e-169
4,3.33432,10.50644444444444444444444444444444444444444444444444444444444444444444444444444444444,2.2228800000000000000000000000352060178976,1.694875348871232000000000000005186526778900533623040000000000715507027620157282442803e-168
5,4.16765,12.82125,2.77843333333333333333333333338833613732125,3.251023555565620949074074074086366592240514655049992766203705886603071292695076767936e-168
6,5.00098,15.13605555555555555555555555555555555555555555555555555555555555555555555555555555556,3.333986666666666666666666666745864369707933333333333333333333333333333333333333333333,5.549491891050179296296296296321274863933857844117190925925931356592073035858321946622e-168
7,5.83431,17.45086111111111111111111111111111111111111111111111111111111111111111111111111111111,3.88954000000000000000000000010779071505765,8.73495454514666629166666666671226621594396501098642072916667840279966627835794483663e-168
8,6.66764,19.76566666666666666666666666666666666666666666666666666666666666666666666666666666667,4.4450933333333333333333333334741151733704,1.295208570767684118518518518526211078920261875089834370370372658276664817383703533649e-167
9,7.50097,22.08047222222222222222222222222222222222222222222222222222222222222222222222222222222,5.000646666666666666666666666844837744646183333333333333333333333333333333333333333333,1.83455595684624632268518518519739939914883493441724966550926338179717992944793318966e-167
10,8.3343,24.39527777777777777777777777777777777777777777777777777777777777777777777777777777778,5.556200000000000000000000000219958428885,2.506005031732529166666666666685151649742643475620729166666673647755470332461770703026e-167
11,9.16763,26.71008333333333333333333333333333333333333333333333333333333333333333333333333333333,6.11175333333333333333333333359947722608685,3.324023214408708575462962962989869424848890063748001609953714946203856675434265282479e-167
12,10.00096,29.02488888888888888888888888888888888888888888888888888888888888888888888888888888889,6.667306666666666666666666666983394136251733333333333333333333333333333333333333333333,4.303077923856960474074074074111995845299452032354683259259276628705303857311076645261e-167
13,10.83429,31.33969444444444444444444444444444444444444444444444444444444444444444444444444444444,7.22286000000000000000000000037170915937965,5.457636579059460787500000000052015558610881483504277906250025916705702996335323568231e-167
14,11.66762,33.6545,7.7784133333333333333333333337644222954706,6.802166598998385440740740740810454738984405287768176870370407909906153399408432438971e-167
15,12.50095,35.96930555555555555555555555555555555555555555555555555555555555555555555555555555556,8.333966666666666666666666667161533544524583333333333333333333333333333333333333333333,8.351135402655910358796296296387881087305925084225658998842645594635244531450985806899e-167
16,13.33428,38.28411111111111111111111111111111111111111111111111111111111111111111111111111111111,8.8895200000000000000000000005630429065416,1.011901040901421146666666666678490383114601728046389066666673985222133798476357093437e-166
17,14.16761,40.59891666666666666666666666666666666666666666666666666666666666666666666666666666667,9.44507333333333333333333333396895038152165,1.21202590370554646893518518520021737247599330525779257766204694673648494483876283478e-166
18,15.00094,42.91372222222222222222222222222222222222222222222222222222222222222222222222222222222,10.00062666666666666666666666737925596946473333333333333333333333333333333333333333333,1.436934870576184595185185185204038304908759834517070575925939113651053067746630038876e-166
19,15.83427,45.22852777777777777777777777777777777777777777777777777777777777777777777777777777778,10.55618000000000000000000000079395967037085,1.688074683411553117916666666690026561175361387135305957291683947621975146260527976506e-166
20,16.6676,47.54333333333333333333333333333333333333333333333333333333333333333333333333333333333,11.11173333333333333333333333421306148424,1.966892084109869629629629629658259674706725511274370370370392703154278159923365810193e-166
21,17.50093,49.85813888888888888888888888888888888888888888888888888888888888888888888888888888889,11.66728666666666666666666666763656141107218333333333333333333333333333333333333333333,2.274833814569351722824074074108819331602247231946924216550954428439107285696477449304e-166
22,18.33426,52.17294444444444444444444444444444444444444444444444444444444444444444444444444444444,12.2228400000000000000000000010644594508674,2.613346616688216990000000000041791370629789051016416650000035966190954094895706405167e-166
23,19.16759,54.48775,12.77839333333333333333333333449675560362565,2.983877232364683023657407407457265783225680947197085577662081954484884750127490646181e-166
24,20.00092,56.80255555555555555555555555555555555555555555555555555555555555555555555555555555556,13.33394666666666666666666666793344986934693333333333333333333333333333333333333333333,3.387872403496967416296296296355336713494720376053957659259314827593768202224947452924e-166
25,20.83425,59.11736111111111111111111111111111111111111111111111111111111111111111111111111111111,13.88950000000000000000000000137454224803125,3.826778871983287760416666666736102458210172270002848307291734816825504387183958273265e-166
